2026-04-20 18:40:15,861 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:40:15,861 - ERROR - USER: jdoe | ACTION: LOGIN | ERROR: 'role'
2026-04-20 18:40:36,077 - INFO - USER: asmith | ACTION: LOGIN | RESULT: Success
2026-04-20 18:40:36,077 - ERROR - USER: asmith | ACTION: LOGIN | ERROR: 'role'
2026-04-20 18:42:14,051 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:42:40,038 - INFO - USER: teller_jane | ACTION: LOGIN | RESULT: Success
2026-04-20 18:45:02,079 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:45:21,359 - ERROR - USER: jd | ACTION: LOGIN | ERROR: Invalid credentials
2026-04-20 18:45:33,989 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:46:04,428 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:47:54,339 - INFO - USER: jdoe | ACTION: LOGIN | RESULT: Success
2026-04-20 18:48:16,340 - INFO - USER: teller_jane | ACTION: LOGIN | RESULT: Success
2026-04-20 18:48:29,030 - INFO - USER: lo_sarah | ACTION: LOGIN | RESULT: Success
2026-04-20 18:48:39,773 - ERROR - USER: mgr_tom | ACTION: LOGIN | ERROR: Invalid credentials
2026-04-20 18:48:49,051 - INFO - USER: mgr_tom | ACTION: LOGIN | RESULT: Success
